qual	method	off	on
65	sim_R1.trim	0.0	0.0
65	bsmap	0.004633	0.9078105
65	gsnap	0.0	0.0
65	bis2	0.000581	0.850766
65	bsmooth	0.0	0.0
65	bis1	0.010036	0.861851
65	last	0.000638	0.8774645
66	bwa	0.0	0.0
66	sim_R1.trim	0.0	0.0
66	bsmap	0.004633	0.9078105
66	gsnap	0.0	0.0
66	bis2	0.000581	0.850766
66	bsmooth	0.0	0.0
66	bis1	0.010036	0.861851
66	last	0.0006315	0.877065
67	bwa	0.0	0.0
67	sim_R1.trim	0.0	0.0
67	bsmap	0.004633	0.9078105
67	gsnap	0.0	0.0
67	bis2	0.000581	0.850766
67	bsmooth	0.0	0.0
67	bis1	0.010036	0.861851
67	last	0.000618	0.8765325
68	bwa	0.0	0.0
68	sim_R1.trim	0.0	0.0
68	bsmap	0.004633	0.9078105
68	gsnap	0.0	0.0
68	bis2	0.000581	0.850766
68	bsmooth	0.0	0.0
68	bis1	0.010036	0.861851
68	last	0.000599	0.8761725
69	bwa	0.0	0.0
69	sim_R1.trim	0.0	0.0
69	bsmap	0.004633	0.9078105
69	gsnap	0.0	0.0
69	bis2	0.000581	0.850766
69	bsmooth	0.0	0.0
69	bis1	0.010036	0.861851
69	last	0.0005815	0.8756665
70	bwa	0.0	0.0
70	sim_R1.trim	0.0	0.0
70	bsmap	0.004633	0.9078105
70	gsnap	0.0	0.0
70	bis2	0.000581	0.850766
70	bsmooth	0.0	0.0
70	bis1	0.010036	0.861851
70	last	0.0005495	0.8750535
71	bwa	0.0	0.0
71	sim_R1.trim	0.0	0.0
71	bsmap	0.004633	0.9078105
71	gsnap	0.0	0.0
71	bis2	0.000581	0.850766
71	bsmooth	0.0	0.0
71	bis1	0.010036	0.861851
71	last	0.000522	0.8746985
72	bwa	0.0	0.0
72	sim_R1.trim	0.0	0.0
72	bsmap	0.004633	0.9078105
72	gsnap	0.0	0.0
72	bis2	0.000581	0.850766
72	bsmooth	0.0	0.0
72	bis1	0.010036	0.861851
72	last	0.0004875	0.8741315
73	bwa	0.0	0.0
73	sim_R1.trim	0.0	0.0
73	bsmap	0.004633	0.9078105
73	gsnap	0.0	0.0
73	bis2	0.000581	0.850766
73	bsmooth	0.0	0.0
73	bis1	0.010036	0.861851
73	last	0.000442	0.8736235
74	bwa	0.0	0.0
74	sim_R1.trim	0.0	0.0
74	bsmap	0.004633	0.9078105
74	gsnap	0.0	0.0
74	bis2	0.000581	0.850766
74	bsmooth	0.0	0.0
74	bis1	0.010036	0.861851
74	last	0.000415	0.873327
75	bwa	0.0	0.0
75	sim_R1.trim	0.0	0.0
75	bsmap	0.004633	0.9078105
75	gsnap	0.0	0.0
75	bis2	0.000581	0.850766
75	bsmooth	0.0	0.0
75	bis1	0.010036	0.861851
75	last	0.00039	0.8728985
76	bwa	0.0	0.0
76	sim_R1.trim	0.0	0.0
76	bsmap	0.004633	0.9078105
76	gsnap	0.0	0.0
76	bis2	0.000581	0.850766
76	bsmooth	0.0	0.0
76	bis1	0.010036	0.861851
76	last	0.000367	0.872489
77	bwa	0.0	0.0
77	sim_R1.trim	0.0	0.0
77	bsmap	0.004633	0.9078105
77	gsnap	0.0	0.0
77	bis2	0.000581	0.850766
77	bsmooth	0.0	0.0
77	bis1	0.010036	0.861851
77	last	0.000354	0.8720225
78	bwa	0.0	0.0
78	sim_R1.trim	0.0	0.0
78	bsmap	0.004633	0.9078105
78	gsnap	0.0	0.0
78	bis2	0.000581	0.850766
78	bsmooth	0.0	0.0
78	bis1	0.010036	0.861851
78	last	0.0003355	0.8713485
79	bwa	0.0	0.0
79	sim_R1.trim	0.0	0.0
79	bsmap	0.004633	0.9078105
79	gsnap	0.0	0.0
79	bis2	0.000581	0.850766
79	bsmooth	0.0	0.0
79	bis1	0.010036	0.861851
79	last	0.000327	0.870691
80	bwa	0.0	0.0
80	sim_R1.trim	0.0	0.0
80	bsmap	0.004633	0.9078105
80	gsnap	0.0	0.0
80	bis2	0.000581	0.850766
80	bsmooth	0.0	0.0
80	bis1	0.010036	0.861851
80	last	0.0003205	0.869952
81	bwa	0.0	0.0
81	sim_R1.trim	0.0	0.0
81	bsmap	0.004633	0.9078105
81	gsnap	0.0	0.0
81	bis2	0.000581	0.850766
81	bsmooth	0.0	0.0
81	bis1	0.010036	0.861851
81	last	0.000311	0.869004
82	bwa	0.0	0.0
82	sim_R1.trim	0.0	0.0
82	bsmap	0.004633	0.9078105
82	gsnap	0.0	0.0
82	bis2	0.000581	0.850766
82	bsmooth	0.0	0.0
82	bis1	0.010036	0.861851
82	last	0.000306	0.868166
83	bwa	0.0	0.0
83	sim_R1.trim	0.0	0.0
83	bsmap	0.004633	0.9078105
83	gsnap	0.0	0.0
83	bis2	0.000581	0.850766
83	bsmooth	0.0	0.0
83	bis1	0.010036	0.861851
83	last	0.000303	0.867304
84	bwa	0.0	0.0
84	sim_R1.trim	0.0	0.0
84	bsmap	0.004633	0.9078105
84	gsnap	0.0	0.0
84	bis2	0.000581	0.850766
84	bsmooth	0.0	0.0
84	bis1	0.010036	0.861851
84	last	0.000302	0.866299
85	bwa	0.0	0.0
85	sim_R1.trim	0.0	0.0
85	bsmap	0.004633	0.9078105
85	gsnap	0.0	0.0
85	bis2	0.000581	0.850766
85	bsmooth	0.0	0.0
85	bis1	0.010036	0.861851
85	last	0.000301	0.8654605
86	bwa	0.0	0.0
86	sim_R1.trim	0.0	0.0
86	bsmap	0.004633	0.9078105
86	gsnap	0.0	0.0
86	bis2	0.000581	0.850766
86	bsmooth	0.0	0.0
86	bis1	0.010036	0.861851
86	last	0.0002955	0.8645345
87	bwa	0.0	0.0
87	sim_R1.trim	0.0	0.0
87	bsmap	0.004633	0.9078105
87	gsnap	0.0	0.0
87	bis2	0.000581	0.850766
87	bsmooth	0.0	0.0
87	bis1	0.010036	0.861851
